"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T07:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",49.72,"provisorisch"
"2023-01-01T07:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",7.93,"provisorisch"
"2023-01-01T07:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",4.3,"provisorisch"
"2023-01-01T08:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.17,"provisorisch"
"2023-01-01T08:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",1.24,"provisorisch"
"2023-01-01T08:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",8.35,"provisorisch"
"2023-01-01T08:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",1.72,"provisorisch"
"2023-01-01T08:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",13.33,"provisorisch"
"2023-01-01T08:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",27.58,"provisorisch"
"2023-01-01T08:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",16.13,"provisorisch"
"2023-01-01T08:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",11.55,"provisorisch"
"2023-01-01T08:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",9.23,"provisorisch"
"2023-01-01T08:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",2.74,"provisorisch"
"2023-01-01T08:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",13.45,"provisorisch"
"2023-01-01T08:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",28.26,"provisorisch"
"2023-01-01T08:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",15.17,"provisorisch"
"2023-01-01T08:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",12.78,"provisorisch"
"2023-01-01T08:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",2.28,"provisorisch"
"2023-01-01T08:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.51,"provisorisch"
"2023-01-01T08:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",3.57,"provisorisch"
"2023-01-01T08:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",51.13,"provisorisch"
"2023-01-01T08:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",16.32,"provisorisch"
"2023-01-01T08:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",8.57,"provisorisch"
"2023-01-01T08:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",18.07,"provisorisch"
"2023-01-01T08:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",27.95,"provisorisch"
"2023-01-01T08:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",11.49,"provisorisch"
"2023-01-01T08:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",8.22,"provisorisch"
"2023-01-01T09:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.16,"provisorisch"
"2023-01-01T09:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",1.23,"provisorisch"
"2023-01-01T09:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",6.03,"provisorisch"
"2023-01-01T09:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",1.36,"provisorisch"
"2023-01-01T09:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",9.44,"provisorisch"
"2023-01-01T09:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",37.73,"provisorisch"
"2023-01-01T09:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",11.45,"provisorisch"
"2023-01-01T09:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",8.17,"provisorisch"
"2023-01-01T09:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",5,"provisorisch"
"2023-01-01T09:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",1.82,"provisorisch"
"2023-01-01T09:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",6.77,"provisorisch"
"2023-01-01T09:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",49.91,"provisorisch"
"2023-01-01T09:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",9.45,"provisorisch"
"2023-01-01T09:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",6.43,"provisorisch"
"2023-01-01T09:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",2.43,"provisorisch"
"2023-01-01T09:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.72,"provisorisch"
"2023-01-01T09:00+0100","Zch_Heubeeribüel","NO2","h1","µg/m3",3.55,"provisorisch"
"2023-01-01T09:00+0100","Zch_Heubeeribüel","O3","h1","µg/m3",52.56,"provisorisch"
"2023-01-01T09:00+0100","Zch_Rosengartenstrasse","NOx","h1","ppb",13.14,"provisorisch"
"2023-01-01T09:00+0100","Zch_Rosengartenstrasse","NO","h1","µg/m3",6.59,"provisorisch"
"2023-01-01T09:00+0100","Zch_Rosengartenstrasse","NO2","h1","µg/m3",15.01,"provisorisch"
"2023-01-01T09:00+0100","Zch_Rosengartenstrasse","O3","h1","µg/m3",39.24,"provisorisch"
"2023-01-01T09:00+0100","Zch_Rosengartenstrasse","PM10","h1","µg/m3",10.45,"provisorisch"
"2023-01-01T09:00+0100","Zch_Rosengartenstrasse","PM2.5","h1","µg/m3",6.46,"provisorisch"
"2023-01-01T10:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",0.16,"provisorisch"
"2023-01-01T10:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",1.2,"provisorisch"
"2023-01-01T10:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",6.87,"provisorisch"
"2023-01-01T10:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",2.32,"provisorisch"
"2023-01-01T10:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",9.58,"provisorisch"
"2023-01-01T10:00+0100","Zch_Stampfenbachstrasse","O3","h1","µg/m3",39.54,"provisorisch"
"2023-01-01T10:00+0100","Zch_Stampfenbachstrasse","PM10","h1","µg/m3",10.51,"provisorisch"
"2023-01-01T10:00+0100","Zch_Stampfenbachstrasse","PM2.5","h1","µg/m3",6.76,"provisorisch"
"2023-01-01T10:00+0100","Zch_Schimmelstrasse","NOx","h1","ppb",14.95,"provisorisch"
"2023-01-01T10:00+0100","Zch_Schimmelstrasse","NO","h1","µg/m3",7.8,"provisorisch"
"2023-01-01T10:00+0100","Zch_Schimmelstrasse","NO2","h1","µg/m3",16.63,"provisorisch"
"2023-01-01T10:00+0100","Zch_Schimmelstrasse","O3","h1","µg/m3",25.57,"provisorisch"
"2023-01-01T10:00+0100","Zch_Schimmelstrasse","PM10","h1","µg/m3",11.98,"provisorisch"
"2023-01-01T10:00+0100","Zch_Schimmelstrasse","PM2.5","h1","µg/m3",9.5,"provisorisch"
"2023-01-01T10:00+0100","Zch_Heubeeribüel","NOx","h1","ppb",2.58,"provisorisch"
"2023-01-01T10:00+0100","Zch_Heubeeribüel","NO","h1","µg/m3",0.97,"provisorisch"
