"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1983-01-01T16:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",185.04,"bereinigt"
"1983-01-01T16:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",192.17,"bereinigt"
"1983-01-01T16:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",74.02,"bereinigt"
"1983-01-01T17:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.97,"bereinigt"
"1983-01-01T17:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",80.19,"bereinigt"
"1983-01-01T17:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",232.45,"bereinigt"
"1983-01-01T17:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",228.3,"bereinigt"
"1983-01-01T17:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",90.98,"bereinigt"
"1983-01-01T18:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",5.23,"bereinigt"
"1983-01-01T18:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",73.51,"bereinigt"
"1983-01-01T18:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",354.08,"bereinigt"
"1983-01-01T18:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",322.32,"bereinigt"
"1983-01-01T18:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",109.48,"bereinigt"
"1983-01-01T19:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.23,"bereinigt"
"1983-01-01T19:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",72.99,"bereinigt"
"1983-01-01T19:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",209.26,"bereinigt"
"1983-01-01T19:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",205.94,"bereinigt"
"1983-01-01T19:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",92.52,"bereinigt"
"1983-01-01T20:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.52,"bereinigt"
"1983-01-01T20:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",67.86,"bereinigt"
"1983-01-01T20:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",265.95,"bereinigt"
"1983-01-01T20:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",248.71,"bereinigt"
"1983-01-01T20:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",86.36,"bereinigt"
